Hostname,Device Type,OS Vendor,Model Name,IP Address,MAC,WLAN (SSID),AP Name,AP MAC,Traffic (Session),RSSI,SNR,Radio Type,VLAN,VNI,CPE MAC,User Name,Packets dropped,Session start time
aid-flo-09079283,Smartphone,Android,Android,172.18.44.49/::,14:DD:A9:48:30:8B,svnet,NE Hallway,94:BF:C4:31:33:A0,384509,-53,43,a/n,216,nan,nan,nan,0,6/26/2024 6:36
aid-flo-09239ac7,Smartphone,Android,Android,172.18.40.13/::,14:DD:A9:48:36:E1,svnet,RuckusAP,94:BF:C4:31:2B:B0,345952,-54,42,g/n,214,nan,nan,nan,0,6/25/2024 13:42
aid-flo-0a07c225,Smartphone,Android,Android,172.18.32.6/::,30:5A:3A:8D:99:97,svnet,Roll Call,1C:3A:60:03:7E:A0,8587,-65,31,g/n,210,nan,nan,nan,0,6/26/2024 6:21
aid-flo-0a083a6d,Smartphone,Android,Android,172.18.40.28/::,30:5A:3A:8D:9F:43,svnet,NE Hallway,94:BF:C4:31:33:A0,8401945783,-57,39,a/n,214,nan,nan,nan,22,5/28/2024 11:39
aid-flo-0a634611,Smartphone,Android,Android,172.18.62.17/::,30:5A:3A:8D:66:DB,svnet,WAP38_Library,94:BF:C4:31:33:A0,712589,-69,27,g/n,225,nan,nan,nan,0,6/25/2024 18:51
aid-flo-0a73bd10,Smartphone,Android,Android,172.18.56.13/::,14:DD:A9:49:E9:03,svnet,WAP_240A-3,4C:B1:CD:36:C1:50,322330,-73,23,a/n,222,nan,nan,nan,0,6/26/2024 6:33
aid-flo-0b052bc2,Smartphone,Android,Android,172.18.60.45/::,14:DD:A9:49:58:9B,svnet,WAP28_60 Bed-4,4C:B1:CD:36:DC:70,539851,-65,31,g/n,224,nan,nan,nan,0,6/14/2024 9:19
aid-jp6-002000b5,Tablet,Android,Generic_Android wv/Android 8.1.0,172.18.48.7/::,0A:05:61:B1:C0:28,svnet,RuckusAP,94:BF:C4:31:2B:B0,475310,-62,34,g/n,218,nan,nan,nan,0,6/23/2024 21:43
aid-jp6-0050ed8e,Smartphone,Android,Android,172.18.40.25/::,0A:05:61:B1:98:10,svnet,WAP_240C-3,4C:B1:CD:36:63:E0,375285,-59,37,g/n,214,nan,nan,nan,0,6/24/2024 23:09
aid-jp6-006559a9,Smartphone,Android,Android,172.18.34.23/::,0A:06:5C:13:7C:41,svnet,WAP28_60 Bed-4,4C:B1:CD:36:DC:70,48263008,-62,34,g/n,211,nan,nan,nan,155,6/25/2024 19:51
aid-jp6-00668d3d,Smartphone,Android,Android,172.18.54.9/::,0A:04:67:B3:74:40,svnet,RuckusAP,94:BF:C4:31:2B:B0,142566,-69,27,g/n,221,nan,nan,nan,0,6/25/2024 20:20
aid-jp6-0088a7d9,Smartphone,Android,Android,172.18.52.25/::,0A:05:9F:F1:7C:17,svnet,WAP_240C-1,4C:B1:CD:36:9A:30,2595982,-47,49,g/n,220,nan,nan,nan,0,6/21/2024 12:15
